,Cloud,Area,GLON,GLAT,theta,WCO,Vcent,Rmax,Rmin,Rang,Rgal,INF,Dnear,Dfar,Rnear,Rfar,Mnear,Mfar,_RA.icrs,_DE.icrs,phyD,Md2
4262,4263,0.796875,96.36629,-0.209088,-13.0059,137.466,-56.555,0.714411,0.228766,0.334383,11.785,0,7.27493,7.27493,42.4576,42.4576,151010.0,151010.0,325.448915,52.594491,6.528128850520868,2853.3041617611043
4594,4595,1.07812,94.61542,0.967965,35.7719,136.43,-11.5797,0.782285,0.371052,0.475786,9.13213,0,2.72428,2.72428,22.6231,22.6231,21016.8,21016.8,322.024676,52.28694,1.9810188258060677,2831.803454759642
4872,4873,1.60938,104.6404,1.1067,-18.8443,130.684,-2.2328,0.904567,0.563123,0.659502,8.7261,0,0.769017,0.769017,8.85215,8.85215,1604.16,1604.16,335.810201,58.612904,0.04996192321737597,2712.5378190348374
4822,4823,0.296875,103.0775,2.755371,5.97069,128.292,-3.25308,0.719098,0.547216,0.599379,8.76922,0,0.967148,0.967148,10.1179,10.1179,2490.8,2490.8,331.519206,59.097013,0.22012320286555828,2662.888492724266
4289,4290,0.796875,107.4692,0.706656,13.1624,127.568,-53.2113,0.593986,0.469727,0.507952,11.701,0,5.88527,5.88527,52.1769,52.1769,91712.2,91712.2,340.969854,59.692861,5.140517501662797,2647.855785479713
4263,4264,1.21875,106.2858,-0.303907,-2.79039,125.945,-56.8281,0.703145,0.502274,0.561878,11.9603,0,6.36179,6.36179,62.3897,62.3897,105802.0,105802.0,339.888299,58.239974,5.615512301356443,2614.178382954225
4961,4962,1.0625,91.84894,-1.317689,16.2176,121.188,2.66992,0.618702,0.462906,0.509905,8.52317,0,0.411211,0.411211,3.65968,3.65968,425.345,425.345,321.381133,48.721929,0.35146126456306864,2515.427964277097
5786,5787,1.84375,101.022,0.37612,-1.78051,120.884,-66.3581,1.2004,0.603626,0.75908,12.6472,0,7.88002,7.88002,104.404,104.404,155803.0,155803.0,331.05011,55.963506,7.130123170496032,2509.1185215548962
4364,4365,1.48438,97.68626,0.535765,-21.7251,120.135,-41.154,0.925496,0.477733,0.595546,10.73,0,5.50985,5.50985,57.2728,57.2728,75700.8,75700.8,326.315316,54.018979,4.761513204347718,2493.5662863088733
4240,4241,0.859375,97.31077,1.718254,-6.30234,119.866,-66.8203,0.611267,0.381119,0.446119,12.6243,0,8.31854,8.31854,64.7715,64.7715,172164.0,172164.0,324.498805,54.665541,7.5704206808948875,2487.987108950663
2910,2911,0.453125,92.54101,-0.219017,32.6792,118.567,2.02959,0.58383,0.319113,0.390294,8.54871,0,0.609267,0.609267,4.15034,4.15034,913.547,913.547,320.963485,49.991556,0.1744313153973672,2461.022498519777
4603,4604,0.5625,107.1377,2.542207,-12.4551,118.556,-10.7786,0.692758,0.347592,0.437428,9.1163,0,1.63582,1.63582,12.489,12.489,6584.84,6584.84,338.576064,61.136172,0.8936551744725025,2460.787995187781
6343,6344,1.65625,97.98326,0.138816,23.7207,111.344,-11.7091,0.980961,0.591859,0.700427,9.14162,0,2.385,2.385,29.1575,29.1575,13146.1,13146.1,327.135447,53.905091,1.636890025437473,2311.107595075793
2812,2813,0.234375,109.2866,1.195476,-21.9243,111.275,-11.7748,0.312408,0.20086,0.232721,9.17135,0,1.63648,1.63648,6.64701,6.64701,6185.4,6185.4,343.799249,60.949618,0.9002796833346639,2309.6511342333397
4674,4675,1.32812,105.7969,-1.405303,20.1688,107.403,-9.524,0.77307,0.493347,0.573026,9.0543,0,1.57042,1.57042,15.7066,15.7066,5497.95,5497.95,340.082848,57.039476,0.8266624750630035,2229.303258393337
2680,2681,0.15625,108.9699,-0.429914,-1.31909,107.22,-49.401,0.246736,0.146467,0.174276,11.4439,0,5.38244,5.38244,16.3718,16.3718,64474.5,64474.5,344.617399,59.344491,4.640902061230587,2225.5101959382214
6275,6276,1.71875,98.73312,1.518537,4.47476,103.211,-16.7208,1.40962,0.547088,0.750019,9.38006,0,2.88191,2.88191,37.7272,37.7272,17792.5,17792.5,326.60401,55.445023,2.1328261592821836,2142.279571977578
3657,3658,0.59375,99.13821,2.062563,-20.815,99.577,-1.99375,0.635442,0.42559,0.486429,8.71405,0,0.997417,0.997417,8.46807,8.46807,2056.2,2056.2,326.532349,56.121984,0.24957246824067958,2066.8636276155603
4513,4514,0.546875,104.8574,2.039958,31.4386,98.6057,-22.1644,0.781068,0.398064,0.498347,9.67771,0,2.93687,2.93687,25.5449,25.5449,17653.2,17653.2,335.18439,59.515425,2.189057509649582,2046.6990857220364
4935,4936,0.515625,108.8556,1.609373,-7.65006,97.6382,2.0446,0.437096,0.313565,0.350276,8.54358,0,0.132064,0.132064,0.807381,0.807381,35.3462,35.3462,342.623844,61.13148,0.6193808355031585,2026.6270551086134
4229,4230,1.03125,104.571,0.316338,30.6157,96.4987,-68.0417,0.808735,0.412199,0.516028,12.8846,0,7.77807,7.77807,70.0542,70.0542,121176.0,121176.0,336.497776,57.90674,7.029657162599948,2002.9629582009177
4238,4239,0.515625,96.65462,1.333523,27.4178,94.5687,-68.0819,0.482448,0.238173,0.301355,12.7273,0,8.5412,8.5412,44.9241,44.9241,143198.0,143198.0,324.101739,53.941269,7.793736405604985,1962.9044952103573
4913,4914,0.75,94.30632,-0.734175,8.64639,94.398,2.09153,0.523816,0.415221,0.448655,8.54608,0,0.453917,0.453917,3.55447,3.55447,403.708,403.708,323.530314,50.831978,0.3048634125606037,1959.3609995552629
4269,4270,0.859375,108.1417,-2.823931,-4.7844,91.1584,-56.0311,1.17335,0.322101,0.495606,11.9362,0,6.14876,6.14876,53.1878,53.1878,71535.8,71535.8,345.088406,56.823645,5.407262207746947,1892.1185982824893
4310,4311,0.84375,104.9567,1.107923,26.1224,91.1375,-49.4147,0.699875,0.353733,0.444076,11.3664,0,5.66594,5.66594,43.9152,43.9152,60728.6,60728.6,336.323911,58.782537,4.917842088650864,1891.6872071478874
4386,4387,0.75,96.24058,0.044376,-25.1018,85.4248,-36.7145,0.503894,0.318732,0.371304,10.45,0,5.22477,5.22477,33.8595,33.8595,48402.7,48402.7,325.018113,52.702815,4.478190587432263,1773.1081823847962
4817,4818,0.09375,93.30003,2.397509,-11.9526,82.4531,-3.67319,0.361009,0.292224,0.313557,8.78357,0,1.77951,1.77951,9.73867,9.73867,5419.54,5419.54,318.849323,52.372151,1.0418444097764223,1711.439535478177
4398,4399,0.453125,109.8222,-1.306647,12.5911,81.7191,-35.5689,0.389161,0.301725,0.328435,10.5017,0,3.92634,3.92634,22.5071,22.5071,26148.8,26148.8,346.828229,58.88917,3.187832502383822,1696.1956864382573
4635,4636,0.578125,93.74636,-0.603392,-1.80153,79.6855,-11.0172,0.67403,0.234293,0.333221,9.10595,0,2.75788,2.75788,16.0395,16.0395,12580.1,12580.1,322.741313,50.547768,2.0170125810746105,1653.9918400030883
4274,4275,0.765625,101.9563,-0.193257,-5.57671,79.4525,-56.2868,0.623221,0.326733,0.405206,11.8325,0,6.65695,6.65695,47.08,47.08,73082.0,73082.0,333.00165,56.044164,5.907307745026928,1649.1487653539773
4706,4707,0.171875,93.18969,3.020402,12.1168,79.1548,-13.0831,0.498731,0.328477,0.377536,9.19963,0,3.08193,3.08193,20.3079,20.3079,15605.5,15605.5,317.981984,52.721376,2.3419242192676375,1642.9795101687816
4948,4949,0.1875,93.40006,-4.363381,9.8943,78.4382,1.25355,0.420786,0.353738,0.374807,8.58005,0,0.771452,0.771452,5.04662,5.04662,968.941,968.941,326.169294,47.512602,0.1288609343728145,1628.0941452627123
4318,4319,0.546875,94.25607,-1.595349,-12.8208,78.1892,-43.2575,0.454582,0.291117,0.33774,10.846,0,6.13799,6.13799,36.1819,36.1819,61143.5,61143.5,324.379924,50.159623,5.395239749247371,1622.9231007634005
4887,4888,0.859375,110.609,4.259789,-10.1752,74.9306,-0.252146,0.926326,0.430776,0.556018,8.64186,0,0.383064,0.383064,3.7175,3.7175,228.22,228.22,343.487021,64.283359,0.37841926404390264,1555.2887207308816
3488,3489,0.546875,104.4686,1.228475,16.2683,73.1862,-22.1806,0.368603,0.275699,0.303723,9.67696,0,2.96653,2.96653,15.7256,15.7256,13368.4,13368.4,335.40633,58.622937,2.2182046506703963,1519.0845350786376
4295,4296,0.484375,94.93091,0.268234,-23.0073,73.1654,-51.2573,0.432069,0.255707,0.304565,11.3881,0,6.88347,6.88347,36.5905,36.5905,71957.0,71957.0,323.179737,51.992632,6.138560463536046,1518.651770050343
5835,5836,0.71875,100.1279,1.67117,-14.2837,69.9742,-62.8364,0.548736,0.425411,0.463085,12.3272,0,7.56081,7.56081,61.1105,61.1105,83028.5,83028.5,328.357428,56.446704,6.8109647061290755,1452.4143892521708
4245,4246,0.625,106.511,0.950881,-1.90714,69.369,-62.3234,0.482413,0.308238,0.357874,12.4258,0,6.96533,6.96533,43.5066,43.5066,69855.5,69855.5,339.080369,59.444351,6.219007015881044,1439.849869743222
5785,5786,0.765625,94.2923,1.080186,-19.7501,68.2633,-70.2165,0.904163,0.330759,0.462476,12.8935,0,9.08124,9.08124,73.303,73.303,116850.0,116850.0,321.517478,52.144119,8.337101162035172,1416.8974213366007
4317,4318,0.515625,94.85329,-1.983396,7.8657,67.9843,-43.232,0.545557,0.362593,0.415489,10.8461,0,6.05985,6.05985,43.9447,43.9447,51818.5,51818.5,325.480676,50.262984,5.316396720837888,1411.1107126623106
3502,3503,0.421875,103.8949,1.695382,-8.31985,66.9582,-19.7828,0.294242,0.243454,0.259326,9.54927,0,2.76679,2.76679,12.5228,12.5228,10639.2,10639.2,333.991646,58.697392,2.0179914148461595,1389.8136677919429
4891,4892,0.203125,93.82475,-4.755184,-8.75101,66.8763,1.64022,0.573983,0.441513,0.481869,8.5645,0,0.627667,0.627667,5.27893,5.27893,546.869,546.869,327.022217,47.486312,0.16684558247714878,1388.1126552177454
5988,5989,0.921875,101.2371,0.739109,-0.379194,66.6913,-45.6665,0.608735,0.445755,0.494546,11.054,0,5.60254,5.60254,48.3593,48.3593,43450.1,43450.1,330.973816,56.383293,4.852578001963689,1384.2701324144095
4683,4684,0.640625,92.96288,-0.622692,-12.8463,64.1559,-9.89815,0.420338,0.315289,0.347008,9.05501,0,2.71299,2.71299,16.4312,16.4312,9801.34,9801.34,321.871706,49.995287,1.9741039707050996,1331.6468583335113
4303,4304,0.53125,93.34977,-0.329665,-4.77309,63.6626,-46.9765,0.438684,0.310955,0.348751,11.0874,0,6.63971,6.63971,40.4154,40.4154,58255.2,58255.2,321.992394,50.474431,5.89786970272691,1321.4066104026274
4850,4851,0.65625,93.3269,-1.127293,-20.5922,60.1253,-0.955816,0.495587,0.342664,0.387512,8.67014,0,1.28589,1.28589,8.69707,8.69707,2063.56,2063.56,322.82123,49.878617,0.5539345194377909,1247.9852804668337
4884,4885,0.078125,93.93056,3.214707,11.2371,59.9752,-2.48066,0.363605,0.222221,0.261858,8.73342,0,1.50829,1.50829,6.89338,6.89338,2832.01,2832.01,318.593291,53.392226,0.7708741405563151,1244.873090425935
4934,4935,0.46875,95.60181,1.384212,46.7089,58.386,-0.0553416,0.689067,0.272338,0.371101,8.63315,0,0.893821,0.893821,5.78931,5.78931,968.192,968.192,322.737345,53.266729,0.16426014655246646,1211.8821305218014
4339,4340,0.40625,107.1273,-1.10246,-13.2152,55.8143,-41.3635,0.512422,0.193803,0.267989,10.8406,0,4.6764,4.6764,21.873,21.873,25335.0,25335.0,342.003583,57.931203,3.9320040860161853,1158.5041795703044
4266,4267,0.609375,98.86835,1.095091,-25.6501,55.4972,-58.8115,0.501777,0.302642,0.358198,11.9843,0,7.24025,7.24025,45.2646,45.2646,60385.1,60385.1,327.262729,55.205971,6.490921163285516,1151.9209192003723
4358,4359,0.453125,95.31454,-1.253579,25.7276,53.5007,-39.8257,0.562045,0.28006,0.353258,10.6347,0,5.65346,5.65346,34.8569,34.8569,35492.8,35492.8,325.273819,51.116237,4.908785748842677,1110.4822326390222
4826,4827,0.109375,93.91862,2.918428,-42.5825,53.2791,-4.63135,0.519105,0.195845,0.271036,8.82433,0,1.86205,1.86205,8.80846,8.80846,3834.36,3834.36,318.937262,53.178597,1.1225142677233657,1105.8856136045672
4605,4606,0.109375,92.77425,2.756852,33.8126,52.9422,-14.1359,0.511067,0.271233,0.335007,9.24851,0,3.26037,3.26037,19.0636,19.0636,11681.2,11681.2,317.831741,52.238429,2.5210681473821266,1098.888638131988
5758,5759,0.484375,93.36504,1.467554,8.49209,52.1779,-72.2166,0.402303,0.335949,0.356752,13.0676,0,9.44208,9.44208,58.7918,58.7918,96554.8,96554.8,320.005236,51.768644,8.699600291518815,1083.0250880447281
6297,6298,0.390625,94.63343,-2.221894,49.4506,51.8872,-16.1132,0.803094,0.264486,0.382993,9.3438,0,3.25639,3.25639,21.7676,21.7676,11420.5,11420.5,325.465669,49.938852,2.514489527580401,1076.99154370705
4327,4328,0.4375,94.02875,0.603615,8.62266,48.6307,-44.7173,0.478443,0.263634,0.321572,10.9405,0,6.31696,6.31696,35.4542,35.4542,40279.0,40279.0,321.745854,51.618106,5.573590063920806,1009.3979679264164
6089,6090,0.484375,108.8985,1.483905,-11.0238,48.2722,-34.8332,0.391986,0.322909,0.344464,10.4425,0,3.90963,3.90963,23.5051,23.5051,15315.1,15315.1,342.819179,61.038415,3.1680776613893684,1001.9556989718586
6110,6111,0.828125,96.89659,-1.536338,-12.2389,47.0422,-32.7369,0.634904,0.481814,0.52823,10.2193,0,4.74526,4.74526,43.7495,43.7495,21986.7,21986.7,327.508617,51.921123,3.9987871270358233,976.4275498986511
4644,4645,0.375,106.6093,1.643965,7.27201,46.1613,-11.0134,0.475965,0.338048,0.378887,9.12631,0,1.6872,1.6872,11.1573,11.1573,2727.48,2727.48,338.563663,60.094237,0.9433128018773697,958.1388306027072
4829,4830,0.40625,110.7839,3.879416,-6.24292,46.1164,-1.73811,0.765204,0.233694,0.347022,8.70726,0,0.54369,0.54369,3.293,3.293,282.951,282.951,344.225159,64.015891,0.23423109532367573,957.2129000147238
4277,4278,0.375,106.4768,0.704803,14.7548,40.9905,-55.5308,0.42103,0.218957,0.272276,11.8606,0,6.20571,6.20571,29.4905,29.4905,32765.6,32765.6,339.260242,59.213472,5.459423139684559,850.8150663367219
6232,6233,0.4375,96.08918,1.955587,17.0801,40.493,-20.1177,0.676493,0.359971,0.444221,9.54181,0,3.52861,3.52861,27.3583,27.3583,10465.0,10465.0,322.678291,54.016776,2.782396275249336,840.4887631326619
6103,6104,0.53125,108.3238,-2.167317,17.996,39.4419,-33.3982,0.590018,0.298466,0.374586,10.3455,0,3.80512,3.80512,24.8773,24.8773,11853.5,11853.5,344.88917,57.496376,3.0640777023556223,818.6719098097348
6524,6525,0.125,92.28815,-2.898418,15.24,38.8771,0.613571,0.418222,0.257911,0.303005,8.60591,0,1.05008,1.05008,5.55334,5.55334,889.801,889.801,323.49203,47.873641,0.3361840199450836,806.9527680457785
4711,4712,0.109375,92.09927,4.011739,-1.8424,38.7349,-11.913,0.427938,0.356141,0.378624,9.14473,0,3.08339,3.08339,20.3761,20.3761,7643.82,7643.82,315.565938,52.58285,2.346811911021694,803.9953415505082
4606,4607,0.09375,92.27218,2.774849,31.9497,38.003,-13.7143,0.349106,0.193604,0.235647,9.22859,0,3.2766,3.2766,13.4762,13.4762,8468.71,8468.71,317.255189,51.883241,2.5385622837572113,788.8063669883724
4651,4652,0.1875,107.9678,2.079661,21.7716,37.5648,-12.0965,0.249955,0.167002,0.19103,9.18222,0,1.73089,1.73089,5.771,5.771,2336.0,2336.0,340.54351,61.138303,0.9903069997671025,779.711430055419
4936,4937,0.140625,99.19945,1.605523,6.54911,37.4629,-0.518616,0.229511,0.171574,0.189047,8.65237,0,0.753306,0.753306,2.48554,2.48554,441.262,441.262,327.139582,55.810325,0.026259337045019975,777.5953877997459
5955,5956,0.453125,101.9435,-1.751236,10.5741,36.4658,-51.2734,0.377589,0.30928,0.330553,11.4543,0,6.12073,6.12073,35.3123,35.3123,28355.9,28355.9,334.523064,54.747552,5.371998228080887,756.8973623215852
6175,6176,0.421875,101.3963,0.706129,0.701217,34.4115,-29.8067,0.491666,0.23313,0.298966,10.0758,0,3.98573,3.98573,20.7975,20.7975,11346.7,11346.7,331.240946,56.45108,3.235782760640344,714.2558752955318
4273,4274,0.265625,95.65479,-0.458703,-5.1307,33.0376,-57.4652,0.254614,0.218698,0.230068,11.8485,0,7.45952,7.45952,29.9535,29.9535,38157.8,38157.8,324.842444,51.938156,6.7137394571363895,685.7432825129339
6115,6116,0.453125,93.52618,0.198443,-9.96974,33.0066,-34.5916,0.620299,0.244581,0.333541,10.3165,0,5.34696,5.34696,31.1271,31.1271,19587.0,19587.0,321.616049,50.977683,4.60482998029441,685.1001347108208
6286,6287,0.15625,97.29339,2.575691,-1.95272,32.6104,-18.0051,0.552526,0.367353,0.420895,9.43919,0,3.16826,3.16826,23.2745,23.2745,6794.38,6794.38,323.474037,55.289766,2.4207446584929397,676.8745793374342
6053,6054,0.171875,100.2852,-3.712333,3.99411,31.7345,-37.9776,0.673073,0.326246,0.415322,10.545,0,4.91522,4.91522,35.6297,35.6297,15913.6,15913.6,334.040082,52.196711,4.168664916606835,658.6921916894657
5927,5928,0.46875,93.8812,1.389807,23.5095,30.7371,-56.0042,0.592245,0.383045,0.442929,11.726,0,7.525,7.525,58.1737,58.1737,36126.6,36126.6,320.686498,52.078132,6.781703019211253,637.9903091577355
5706,5707,0.28125,92.93572,1.834507,-3.08197,29.6898,-83.7477,0.684121,0.125,0.220285,14.2177,0,10.9757,10.9757,42.1982,42.1982,74237.0,74237.0,319.096816,51.719202,10.234003040930858,616.2486167094811
5957,5958,0.46875,100.0708,-1.234045,3.11157,28.7996,-49.6154,0.603766,0.286647,0.367441,11.3136,0,6.12796,6.12796,39.2995,39.2995,22447.6,22447.6,331.373701,54.102611,5.378929480156273,597.7754448952605
6461,6462,0.390625,103.4879,-0.614269,20.1807,28.5088,-1.75601,0.442626,0.218082,0.276117,8.70522,0,0.749055,0.749055,3.60983,3.60983,332.016,332.016,335.719736,56.542272,0.03921083350951702,591.7409143228848
6283,6284,0.25,99.77335,2.314491,-32.4159,28.4892,-18.9918,0.437172,0.221049,0.277466,9.49411,0,3.02837,3.02837,14.6656,14.6656,5423.15,5423.15,327.121131,56.722192,2.2788261194965425,591.3352198494792
5828,5829,0.375,103.5824,0.298994,4.42617,25.9944,-64.8841,0.51951,0.228943,0.30085,12.5739,0,7.48223,7.48223,39.2882,39.2882,30206.0,30206.0,334.957594,57.360964,6.733095949916802,539.5492708106067
5859,5860,0.328125,93.86218,1.438238,-11.5288,25.5512,-62.1266,0.357542,0.212855,0.253026,12.2007,0,8.20134,8.20134,36.2184,36.2184,35672.4,35672.4,320.609052,52.099171,7.4580190203123795,530.3501498038546
6079,6080,0.390625,93.21472,-1.532062,4.07059,25.2531,-38.2146,0.378734,0.351728,0.360509,10.5295,0,5.75821,5.75821,36.2316,36.2316,17379.7,17379.7,323.120263,49.505795,5.017499594916263,524.1641048086127
6385,6386,0.375,96.14198,0.104279,6.81829,25.235,-9.3878,0.335685,0.267149,0.288279,9.03403,0,2.28287,2.28287,11.4862,11.4862,2729.73,2729.73,324.830696,52.682634,1.5373699909555172,523.7901544865881
4600,4601,0.109375,94.05128,1.817268,-13.3189,23.573,-15.1668,0.240414,0.125,0.155451,9.29838,0,3.21823,3.21823,8.73151,8.73151,5067.6,5067.6,320.391275,52.501239,2.4757688415640446,489.29206140257094
6082,6083,0.3125,105.6552,-0.82484,-26.3102,23.534,-38.2705,0.442195,0.205068,0.264934,10.6195,0,4.47319,4.47319,20.684,20.684,9774.22,9774.22,339.331578,57.47756,3.7265647577493155,488.4807112372288
